Startdatum;Enddatum;Typ;Serviceaufträge;Gesamte_Arbeitseinheiten;Arbeitseinheiten_pro_Serviceauftrag;Serviceauftragzyklus;Bauteilnummer;Bauteilname;Gesamte_Bauteilmenge;Bauteilmenge_pro_Serviceauftrag
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K00666;"Spiralverschraubung; PG 13,5";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04183;Cable Connector;3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04204;Disc 24 x 1,5;3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04182;Feather shim 17 x 24 x 1,5;3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03361;Nut SM-M 20x1,5;2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04242;Joint ring, black, 6 X 12 X 235;3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04706;Joint ring, black, 3 x 12 x 80;1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04427;"Holder MEG-23; 18+25";4.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04215;Socket head cap screw M  4 x  12;4.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04214;Socket head cap screw M  4 x  16;5.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02067;Hexagon nut M4;5.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04471;"Schaltgehäuse-Verbinder; K - Regler";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04202;Hot-air blower MEG-23, 230 Volt;1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04810;"Schweißschuh; 42.0120V-40-40-M";1.0;0.0
